Category Name,Manufacturer Name,City,Country,Latitude,Longitude,Machine Count
 Book printing,Heidelberg,Dabergotz,Germany,52.9098307,12.7172083,9
 Book printing,Rietstack B.V,Dabergotz,Germany,52.9098307,12.7172083,1
1-head drilling machines,OMM,Terni,Italy,42.6384261,12.674297,1
1-head drilling machines,Soag,Lancaster,United Kingdom,54.0484068,-2.7990345,3
1-head drilling machines,STAGO,,Germany,51.1657,10.4515,1
1-head drilling machines,STAGO,,Netherlands,52.2434979,5.6343227,1
1-head drilling machines,STAGO,Vogtei,Germany,51.1638175,10.4478313,1
2-head drilling machines,Hang,Vogtei,Germany,51.1638,10.4478,1
2-head drilling machines,Hang,Vogtei,Germany,51.1638175,10.4478313,1
2-head drilling machines,IRAM,,United Kingdom,54.7023545,-3.2765753,1
2-head drilling machines,IRAM,Lancaster,United Kingdom,54.0484068,-2.7990345,2
2-head drilling machines,MOM,Vogtei,Germany,51.1638175,10.4478313,1
2-head drilling machines,Nagel,Lancaster,United Kingdom,54.0484068,-2.7990345,2
2-head drilling machines,Nagel,Minsk,Belarus,53.8608204,27.55083154,1
2-head drilling machines,Nagel,Rome,Italy,41.8719,12.5674,1
2-head drilling machines,Nagel,Vogtei,Germany,51.1638175,10.4478313,2
2-head drilling machines,OMM,Lancaster,United Kingdom,54.0484068,-2.7990345,1
2-head drilling machines,OMM,Rome,Italy,41.8719,12.5674,1
2-head drilling machines,Sysform,Lancaster,United Kingdom,54.0484068,-2.7990345,1
4-head drilling machines,Durselen,,France,46.603354,1.8883335,1
4-head drilling machines,Durselen,,United Kingdom,54.7023545,-3.2765753,2
4-head drilling machines,Durselen,Vogtei,Germany,51.1638,10.4478,1
4-head drilling machines,Durselen,Vogtei,Germany,51.1638175,10.4478313,1
4-head drilling machines,Hang,,Germany,51,10,1
4-head drilling machines,Hang,,Germany,51.1657,10.4515,1
4-head drilling machines,Hang,,Netherlands,52.2434979,5.6343227,1
4-head drilling machines,Hang,,United Kingdom,54.7023545,-3.2765753,1
4-head drilling machines,Hang,Stuttgart,Deutschland,48.7758459,9.1829321,2
4-head drilling machines,Hang,Terni,Italy,42.6384261,12.674297,1
4-head drilling machines,Hang,Vogtei,Germany,51.1638,10.4478,1
4-head drilling machines,Hang,Vogtei,Germany,51.1638175,10.4478313,2
4-head drilling machines,IRAM,,Germany,51.1657,10.4515,1
4-head drilling machines,IRAM,,Netherlands,52.2434979,5.6343227,1
4-head drilling machines,IRAM,,United Kingdom,54.7023545,-3.2765753,2
4-head drilling machines,IRAM,Lancaster,United Kingdom,54.00975365,-2.787572732,1
4-head drilling machines,IRAM,Ringwood,United Kingdom,50.844949,-1.788817,1
4-head drilling machines,Lawson-Dexter,,Netherlands,52.2434979,5.6343227,1
4-head drilling machines,Nagel,,Netherlands,52.2434979,5.6343227,1
4-head drilling machines,Nagel,,United Kingdom,54.7023545,-3.2765753,1
4-head drilling machines,Nagel,Lancaster,United Kingdom,54.0484068,-2.7990345,1
4-head drilling machines,Nagel,Minsk,Belarus,53.8608204,27.55083154,1
Accessories,Popp,Vogtei,Germany,51.1638175,10.4478313,1
Accessories,Rima System,,europe,54.526,15.2551,1
Automatic Creasing Machine,BKM,Vogtei,Germany,51.1638175,10.4478313,1
Automatic Creasing Machine,FIDIA,Rome,Italy,41.8719,12.5674,1
Automatic Creasing Machine,KAS,,France,46.603354,1.8883335,1
Automatic Creasing Machine,Krause,,Netherlands,52.2434979,5.6343227,1
Automatic Creasing Machine,Magnum,Ringwood,United Kingdom,50.844949,-1.788817,1
Automatic Creasing Machine,PETRATTO,Rome,Italy,41.8719,12.5674,1
Automatic Creasing Machine,PETRATTO,Terni,Italy,42.6384261,12.674297,2
Automatic Splicer,Zhongshan,Shanghai,China,31.230416,121.473701,1
Bag making,DCM,,Hungary,,,1
Bag making,FUJI,,Poland,,,1
Bag making,Gutenberg,,Netherlands,52.2434979,5.6343227,22
Bag making,Holweg,,Serbia,,,1
Bag making,Hudson Sharp,,Egypt,,,1
Bag making,Hudson Sharp,,Turkey,,,1
Bag making,Jianshe,,Greece,,,1
Bag making,Mamata,,Poland,,,1
Bag making,Manohar Foundry and Workshop,,India,28.7041,77.1025,1
Bag making,New B.K. Industrial Corporation,Ghaziabad,India,28.6728,77.3863,1
Bag making,New B.K. Industrial Corporation,Nuuk,Greenland,64.1743234,-51.7372787,1
Bag making,New B.K. Industrial Corporation,Sahibzada Ajit Singh Nagar,India,30.7046486,76.7178726,1
Bag making,New Long,,South Korea,,,2
Bag making,Royal Industrial Corporation,Sahibzada Ajit Singh Nagar,India,30.7046,76.7179,1
Bag making,Selection Graphics,Faridabad,India,28.3388,77.3206,1
Bag making,Somtas,,Turkey,,,1
Bag making,Tokyo,,Netherlands,52.1326,5.29127,1
Bag making,Tokyo,,Netherlands,52.2434979,5.6343227,2
Bag making,Totani,,Germany,,,2
Bag making,Zenbo,,Slovenia,,,1
Balling machines,HSM,,Germany,51.1657,10.4515,1
Banding Device ,ATS,,France,46.603354,1.8883335,1
Banding Device ,ATS,Stuttgart,Deutschland,48.7758459,9.1829321,1
Banding Device ,ATS,Vogtei,Germany,51.1638,10.4478,1
Banding Device ,Bandall,Vogtei,Germany,51.1638175,10.4478313,1
Banding Device ,Busch,,Netherlands,52.2434979,5.6343227,1
Banding Device ,Busch,Stuttgart,Deutschland,48.7758459,9.1829321,1
Banding Device ,Busch,Vogtei,Germany,51.1638175,10.4478313,2
Banding Device ,Palamides,Vogtei,Germany,51.1638,10.4478,1
Banding Device ,Uchida,Vogtei,Germany,51.1638175,10.4478313,1
